,h1n1_concern,h1n1_knowledge,behavioral_antiviral_meds,behavioral_avoidance,behavioral_face_mask,behavioral_wash_hands,behavioral_large_gatherings,behavioral_outside_home,behavioral_touch_face,doctor_recc_h1n1,doctor_recc_seasonal,chronic_med_condition,child_under_6_months,health_worker,health_insurance,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,household_adults,household_children,h1n1_vaccine,seasonal_vaccine
doctor_recc_seasonal,0.1355670578748191,0.07192036329638518,0.030909396112766902,0.07408825674589804,0.0694810990597576,0.10204396027512101,0.09355711635157132,0.08562241655320602,0.10080817986518958,0.5918676633641384,1.0,0.21380614939349601,0.03683155805435177,0.05940196900312653,0.11719478534421562,0.11861420299292229,0.16844301242933424,0.06717833935224636,0.18090244906386935,0.24008655441075546,0.025356487652032203,-0.040769392191430345,-0.048380220079028514,0.209863569036517,0.3691900954160063
chronic_med_condition,0.09516207596153389,-0.022601804900349843,0.008465208916842437,0.03943539567897287,0.068113140272579,0.030259756643973387,0.10472121526039545,0.09885820987590088,0.028876469143791193,0.1582751533841161,0.21380614939349601,1.0,-0.0013494883251822037,-0.026481132378074073,0.06608818947127283,0.04414454328768729,0.12165710235286016,0.08194287187094007,0.09173722073299788,0.1620611169023214,0.0525872337626426,-0.07134645119059692,-0.10823716854298493,0.09520719150124521,0.1701743593362264
child_under_6_months,0.04957434369596132,0.021597627023192418,0.028787519283003375,-0.0004143035534674046,0.039725599416349,0.036188187897654794,0.021168299625437082,0.018194664979721317,0.02663959428743116,0.07938929164141696,0.03683155805435177,-0.0013494883251822037,1.0,0.07907821280893022,-0.02683580293008367,0.0070936762606193145,0.08651641671230387,0.037212315386648986,0.0036531328350909767,0.05026661745584098,0.03758247251280027,0.04482785453011833,0.09956180835893134,0.06696186123163377,0.012097071847506548
health_worker,0.03356188050396731,0.17025222998034464,0.009465066928327086,0.0011797346070704163,0.06999193325143971,0.053761183951018206,-0.03231925031076012,-0.034618708501404256,0.06764788126378803,0.10163890628888886,0.05940196900312653,-0.026481132378074073,0.07907821280893022,1.0,0.046680017612626856,0.05358067932548677,0.12386926862401391,0.00901486637758473,0.030394622902184996,0.08914229034452707,-0.017893488646620236,0.013379627400554922,0.03769768034745399,0.16976805019515503,0.12731099359175033
health_insurance,-0.0036546334579275596,0.11940849035545567,-0.06398821985086346,0.03266222141994799,-0.04025675492331432,0.031919416330242305,-0.059000073826863744,-0.06138115416847888,0.011024498338899767,0.06715664889454169,0.11719478534421562,0.06608818947127283,-0.02683580293008367,0.046680017612626856,1.0,0.058674849670642244,0.005765707021750105,-0.03331411138592236,0.09124705452405357,0.05023248520338457,-0.0658858938226224,-0.07869727927236347,-0.06940193406637278,0.12116971023713284,0.20085846844381883
opinion_h1n1_vacc_effective,0.23960427588329733,0.12100853378087172,0.030210545521170622,0.11229970224341315,0.03765147026224457,0.13698724360851355,0.05229861611021785,0.05074800321330279,0.10412589147993784,0.15230459912693903,0.11861420299292229,0.04414454328768729,0.0070936762606193145,0.05358067932548677,0.058674849670642244,1.0,0.2613039818849102,0.06237152920847292,0.47246711789627827,0.25817268684054373,0.012491159254256088,0.01097001221320498,-0.015242159330462806,0.26934700167287445,0.2050723836974892
opinion_h1n1_risk,0.37703281262302213,0.07308598385278581,0.10516317882814846,0.11785088757790876,0.1311648067214128,0.16871118553749498,0.1264625020036318,0.12554914576021503,0.14607998597787747,0.2628258764272644,0.16844301242933424,0.12165710235286016,0.08651641671230387,0.12386926862401391,0.005765707021750105,0.2613039818849102,1.0,0.3350616829138478,0.22446905132978223,0.5642077579625572,0.1986014088367998,0.030181219789807995,0.09532473512677309,0.3232646603477319,0.21662525069676175
opinion_h1n1_sick_from_vacc,0.3600697383653178,-0.019500835002610146,0.07909059919772389,0.13140535304324094,0.1071292467423661,0.15002394451721646,0.18592389968360756,0.17483429083985128,0.13177231228813216,0.11311121314843552,0.06717833935224636,0.08194287187094007,0.037212315386648986,0.00901486637758473,-0.03331411138592236,0.06237152920847292,0.3350616829138478,1.0,0.07809654007697525,0.2670132654446258,0.49154611821391103,0.014768931048863634,0.07116353103831216,0.07509070100682075,0.027404153839459315
opinion_seas_vacc_effective,0.23513594593981785,0.08610318404018207,0.015002576659299492,0.11955384139556448,0.04155564393278328,0.13851674586023827,0.0784906696263681,0.06746948590692162,0.10579756371971133,0.10751204628373351,0.18090244906386935,0.09173722073299788,0.0036531328350909767,0.030394622902184996,0.09124705452405357,0.47246711789627827,0.22446905132978223,0.07809654007697525,1.0,0.3448003362496567,-0.017340166411277252,-0.022578925728166978,-0.07650281413391945,0.17927164805507403,0.36187472735155896
opinion_seas_risk,0.3339895008732272,0.07682459751015912,0.08531537720284221,0.12950414428888787,0.11016060192073736,0.17246435791471942,0.1328652539766633,0.12023709043532511,0.14373496681266498,0.20231991333377192,0.24008655441075546,0.1620611169023214,0.05026661745584098,0.08914229034452707,0.05023248520338457,0.25817268684054373,0.5642077579625572,0.2670132654446258,0.3448003362496567,1.0,0.2003787412286566,0.006111394720631817,0.025897662951472198,0.258571021542744,0.3901057133848004
opinion_seas_sick_from_vacc,0.22573137140984698,-0.06248292905731852,0.08430457323905244,0.08294177103361813,0.09000946626505656,0.08802934924706618,0.13544626788930092,0.1381326341358952,0.09009723978095589,0.05712776360448415,0.025356487652032203,0.0525872337626426,0.03758247251280027,-0.017893488646620236,-0.0658858938226224,0.012491159254256088,0.1986014088367998,0.49154611821391103,-0.017340166411277252,0.2003787412286566,1.0,0.02292486795380267,0.05728585948015651,0.00835963556432545,-0.06151035614929182
household_adults,-0.015658463826089434,0.024873810968053037,0.04489997218877607,0.019121772931499352,0.013990869453318254,0.009669317349584188,-0.03193813585697836,-0.027527235059383568,-0.0005529748319994936,0.004112125700812435,-0.040769392191430345,-0.07134645119059692,0.04482785453011833,0.013379627400554922,-0.07869727927236347,0.01097001221320498,0.030181219789807995,0.014768931048863634,-0.022578925728166978,0.006111394720631817,0.02292486795380267,1.0,0.18957094841695002,0.007545080755896736,-0.0648395238210929
household_children,0.05052453718450808,0.050583264595168057,0.0848217151464195,0.040328399237289835,0.00582553546335688,0.047763632685486064,-0.00944868193245527,-0.009557798316722113,0.023606288806236875,0.029039996536218943,-0.048380220079028514,-0.10823716854298493,0.09956180835893134,0.03769768034745399,-0.06940193406637278,-0.015242159330462806,0.09532473512677309,0.07116353103831216,-0.07650281413391945,0.025897662951472198,0.05728585948015651,0.18957094841695002,1.0,-0.003319653352763455,-0.11461354000850849
h1n1_vaccine,0.1219291886507936,0.11795064339845063,0.04060800327457418,0.047689905043081536,0.07049752145269018,0.07471240680629117,0.017821781969169816,0.02176805027878417,0.07164778616523766,0.39389048123859394,0.209863569036517,0.09520719150124521,0.06696186123163377,0.16976805019515503,0.12116971023713284,0.26934700167287445,0.3232646603477319,0.07509070100682075,0.17927164805507403,0.258571021542744,0.00835963556432545,0.007545080755896736,-0.003319653352763455,1.0,0.37714265306152817
seasonal_vaccine,0.15482752754536838,0.12015163337813797,0.006276626094045272,0.07639544075161893,0.050083451897341084,0.11241423506130342,0.06402527357081057,0.05350869299607094,0.12022754993467423,0.19860723771257244,0.3691900954160063,0.1701743593362264,0.012097071847506548,0.12731099359175033,0.20085846844381883,0.2050723836974892,0.21662525069676175,0.027404153839459315,0.36187472735155896,0.3901057133848004,-0.06151035614929182,-0.0648395238210929,-0.11461354000850849,0.37714265306152817,1.0
